SHAWARMAS,,,,,,,,,,
Product,Beef Shawarmas Small Portion//Midium portion // Large portion==Small 39 Sar // midium==59 // Large==79 Sar,,,,,,,,,39Sar//59Sar//79Sar
Content,Marine beef meat Small 120 gr. //Midium 180 gr//Large 240 gr. Breads 100 gr. cips 80 gr.tomato 20 gr.. garlic 10 gr.salt 3 gr.,,,,,,,,,
Content,"Beef Shawarma  120 gr.300 calori//180gr.450 calori //240gr. 600Kcal Allergens:Gluten milk egg,hardal,sussame",,,,,,,,,
Product,"Iskender Kebab .Calori 1150 Allergen :Gluten,Milk,Butter,sussame",,,,,,,,,65 SAR
Content,beef shawarma 120 gr.turkhish pide 150 gr.tomato sos 80 gr.yogurt 150 gr.grıll tomato grıll green pepper butter 20 gr.salt 5 gr.,,,,,,,,,
Product,"Beef shawarmas Sandwich.Allergen  gluten,milk.egg,seasame KCAL 350",,,,,,,,,20 SAR
Content,"Beef shawarmas Sandwich:turkısh bread 80 gr.Beef döner 80 gr.tomato 30 gr.lettuce,20 gr..pickles 20 gr  25 gr.chrispy",,,,,,,,,
Product,"Beef shawarmas WRAP:.Allergen gluten,milk.egg,seasame KCAL 450",,,,,,,,,25 SAR
Content,"Beef shawarmas Wrap 100 gr. tomato 30 gr.cips 40 gr.turkısh pickles 20 gr,.lettuce 20 gr.",,,,,,,,,
