SPECIALS,,,,,,,,,,
Food,1-LAMB TANDOOR(Slow-Cooked Lamb) 350 gr. Calori:780 Allergen ;milk yogurt Butter,,,,,,,,,90 SAR
Content,Lamb Tandoor (Slow-Cooked Lamb) 350 gr. Calori:780 Allergen ;milk yogurt Butter BULGUR rice,,,,,,,,,
Food,2-SALT BAKED LAMB SHOULDERS: 1200 gr. Calori 820 Allergen ;Milk ,,,,,,,,,250 SAR
Content,Lamb shoulder 320 gr.(salt for cook 2000 gr)Butter 50 gr..black pepper 2 gr.Rosemary 3 gr.Tomato 50 gr.,,,,,,,,,
Food,3-SALT BAKED LAMB SHANKS 2000 gr.Calori 900 gr.Allergen milk,,,,,,,,,390 SAR
Content,Lamb shank 2000 gr. (salt for cook 900 gr)butter 50 gr.Garlic 10 gr.Thyme 2 gr.black pepper 2 gr.Bay leaf 1 pieces,,,,,,,,,
Food,"4-LAMB RACK;1200 gr. CALORİ 850 Allergen,milk",,,,,,,,,230 SAR
Content,"Lamb rack,Butter 50 gr..black pepper 2 gr.Rosemary 3 gr.Tomato 50 gr.",,,,,,,,,
