SAUCES,,,,,,,,,,
Food,Cheddar Cheese Sauce 100 gr.Calori 340 Allergen:Milk Gluten Laktoz,,,,,,,,,5 SAR
Content,cheddar cheese 30 gr.milk 30 ml.crema 20 ml.butter 4 gr.flour 3 gr.salt 1gr.white pepper 0.3 gr.,,,,,,,,,
Food,"Cafe de Paris Butter Sauce 100 gr.Calori 315 Allergen,milk, hardal.",,,,,,,,,5 SAR
Content,Butter 30 gr.Dijon hardal 3 gr.Worcestershire 2 gr.garlic 2 gr.maydonoz 2 gr.frenc onion 2 gr.lemon juice 2 ml.black pepper 0.5 gr.paprica 0.4 gr.,,,,,,,,,
Food,Demi-Glace 100 gr.Calori 45 Allergen:gluten Milk,,,,,,,,,5 SAR
Content,"Veal bone broth150 ml.mirepoix vegatable30 gr,tomate paste5 gr,butter 20 gr.flour3 gr.black pepper 1 gr.thyme0.3 gr.bay leaf 1",,,,,,,,,
Food,"Black pepper sauce 100 gr.Calori 95 Allergen Milk,Laktoz",,,,,,,,,5 SAR
Content,beef demi glace 50 ml.crema 25 gr.butter 4gr.black papper pure.2 gr.onion 4 gr.garlic 2 gr.salt 1 gr.,,,,,,,,,
