BURGERS,,,,,,,,,,,
Food,17-Classic Burger 200 gr.Calori:920 Allergen gluten-Milk-Egg-Hardal-Sussame                            ,,,,,,,,,,35 SAR
Content,"Brioche burger bread 80gr,Beef burger meat180 gr,chedar cheese20 gr,pickles 20 gr,crispy onions 15 gr,burger sauce 25 gr.salt 4gr.with crisps",,,,,,,,,,
Food,"20-Turkish Delight Burger 160 gr.Calori 980 Allergen Gluten,Milk,Egg,Hardal,Sussame",,,,,,,,,75 SAR,
Content,Brioche burger bread 80 gr.beef burger meats 180 gr.old cheese 25 gr.crispy onione35 gr special turkhish spıce sauce 30 gr.salt 3 gr.with chrisps,,,,,,,,,,
Food,"18-Chef's Burger 200 gr.Calori 1180 Allergen Gluten,milk,egg,hardal,sussame",,,,,,,,,40 SAR,
Content,"Brioche burger bread 130 gr.beef burger meat,cheddar cheese 20 gr.fume beef meat 40 gr crispy onione,pickles,.truffle mayonnaise,salt 3 gr.with crisps",,,,,,,,,,
Food,"19-Mini Burger 140 gr.Calori 650 Allerjen,gluten,milk,egg,hardal,sussame",,,,,,,,,25 SAR,
Content,"Mini burger bread 60 gr.Beef Burger meat 129 gr,cheddar cheese 20 gr,pickles 10 gr.crispy oni,burger sauce 20 gr.salt 2 gr.with chrisps",,,,,,,,,,
